effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,X_i,0.36667971139613453,0.04761369776949645,7.701139137969801,44972.00000237653,1.3760902387496073e-14
fixed,NA,Y_i,0.1969518094612312,0.12293803900840891,1.6020412481751054,44971.99999886232,0.10915351177408109
fixed,NA,X_i:Y_i,0.14239780708650634,0.1505677327744879,0.9457391996449995,44971.999998995874,0.34428670463489075
ran_pars,subj_id,sd__(Intercept),2.378429979378923,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.761369776949653,NA,NA,NA,NA
fixed,NA,(Intercept),32.194367607720714,0.446142194036813,72.16167409860415,24.23345023247508,8.378203173985875e-30
fixed,NA,X_i,-0.4296391925460592,0.04650939354010695,-9.237686407920236,44971.999996247425,2.6252417006012743e-20
fixed,NA,Y_i,-0.6505218737765311,0.12008673774869387,-5.4171000559435765,44971.99999917586,6.088357056134833e-8
fixed,NA,X_i:Y_i,-0.26652991528269426,0.14707561617985954,-1.8121964891634617,44971.99999888025,0.06996250752104552
ran_pars,subj_id,sd__(Intercept),2.222615434802528,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.650939354010688,NA,NA,NA,NA
fixed,NA,(Intercept),31.82460563538787,0.46055309019156615,69.10084051797479,24.2335776035536,2.3826545941916856e-29
fixed,NA,X_i,-0.3360144503510148,0.048015290273576476,-6.998071831629195,44972.00000399969,2.631314673282628e-12
fixed,NA,Y_i,-0.09153643976048093,0.1239749463952512,-0.7383462741629158,44971.99999800502,0.4603079064166059
fixed,NA,X_i:Y_i,-0.6331862301314615,0.15183767977863105,-4.170152172073517,44971.99999795635,3.0496614618022466e-5
ran_pars,subj_id,sd__(Intercept),2.2944071682966296,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.80152902735765,NA,NA,NA,NA
fixed,NA,(Intercept),31.869656345778438,0.5715511542787728,55.75993698410779,24.144369539071217,4.9749559140231775e-27
fixed,NA,X_i,0.09416609218690646,0.046929607907336086,2.006539078119728,44972.000005877606,0.04480473897145635
fixed,NA,Y_i,0.15501399610877192,0.12117172657943769,1.2792917992065413,44971.999999726744,0.20080091973758635
fixed,NA,X_i:Y_i,0.2770201274808024,0.14840445068583016,1.8666564661679155,44971.99999984637,0.06195607927862281
ran_pars,subj_id,sd__(Intercept),2.8513262844726754,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.692960790733606,NA,NA,NA,NA
fixed,NA,(Intercept),31.856975127201586,0.4104493781137909,77.61487000808592,24.284294260123783,1.286016956473868e-30
fixed,NA,X_i,0.06630148000663941,0.047179203870151135,1.4053115476284321,44971.99999361262,0.1599355637588338
fixed,NA,Y_i,-0.09487044899815325,0.1218161805842799,-0.7788000620534647,44972.00000510755,0.43610159892001654
fixed,NA,X_i:Y_i,0.20473703720705158,0.14919374242310843,1.3722897078781242,44972.0000045009,0.16998011258241946
ran_pars,subj_id,sd__(Intercept),2.0431885241817955,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.717920387015112,NA,NA,NA,NA
fixed,NA,(Intercept),32.08412175173966,0.39379955128810085,81.47323085258458,24.32230060529968,3.6393423802320127e-31
fixed,NA,X_i,-0.03122116631433797,0.04816096036666657,-0.6482671042404491,44972.00000315998,0.5168155163411466
fixed,NA,Y_i,0.3197574370208476,0.12435106495830331,2.571408914978467,44972.00000335745,0.01013174848095645
fixed,NA,X_i:Y_i,-0.6813398739684123,0.1522983290597643,-4.473718642711068,44972.00000318001,7.70590273934896e-6
ran_pars,subj_id,sd__(Intercept),1.9591565012678596,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.816096036666653,NA,NA,NA,NA
fixed,NA,(Intercept),31.441285950623378,0.4795895044052938,65.55874484703658,24.204982735616124,9.001076086074157e-29
fixed,NA,X_i,-0.21478978895312245,0.046863587628282334,-4.583298032084426,44971.99999227635,4.589280614936575e-6
fixed,NA,Y_i,-0.306734242468809,0.12100126295191309,-2.5349672803886993,44972.00000200446,0.011249142586396888
fixed,NA,X_i:Y_i,-0.20943097832788618,0.14819567623226063,-1.4132057267288562,44972.000002072826,0.15760216428489654
ran_pars,subj_id,sd__(Intercept),2.3903031302303743,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.686358762828237,NA,NA,NA,NA
fixed,NA,(Intercept),31.70651221387183,0.4050215795351457,78.28351331369122,24.290004616416248,1.0314481875754748e-30
fixed,NA,X_i,0.2671761539305009,0.047008807601183256,5.683533949577905,44971.99999996958,1.3275376141316721e-8
